Xa,Ya,Xr,Yr
-1.12,-5.40,-0.24,0.25
-1.12,-5.40,-0.26,0.21
-1.12,-5.40,-0.19,0.19
-1.12,-5.40,-0.01,0.14
-1.12,-5.39,-0.11,0.30
-1.11,-5.40,-0.17,0.03
-1.12,-5.39,-0.25,0.30
-1.12,-5.39,-0.43,0.26
-1.12,-5.39,-0.33,0.36
-1.12,-5.39,-0.21,0.10
-1.12,-5.39,-0.36,0.11
-1.12,-5.40,-0.14,0.11
-1.12,-5.40,-0.52,0.07
-1.12,-5.39,-0.22,0.31
-1.12,-5.40,-0.18,0.08
-1.12,-5.40,-0.36,-0.01
-1.12,-5.41,-0.15,0.04
-1.12,-5.41,-0.29,0.21
-1.12,-5.41,-0.31,0.19
-1.12,-5.41,-0.15,0.19
-1.12,-5.41,-0.25,0.25
-1.12,-5.41,-0.13,-0.03
-1.13,-5.41,-0.38,0.13
-1.13,-5.41,-0.40,0.25
-1.14,-5.40,-0.28,0.15
-1.14,-5.40,-0.26,0.35
-1.14,-5.41,-0.31,0.15
-1.14,-5.41,-0.21,0.14
-1.14,-5.40,-0.19,0.25
-1.14,-5.41,-0.13,0.07
-1.14,-5.41,-0.23,0.28
-1.14,-5.40,-0.36,0.27
-1.14,-5.40,-0.21,0.20
-1.13,-5.41,0.18,0.19
-1.13,-5.40,-0.12,0.20
-1.12,-5.40,-0.21,0.25
-1.13,-5.39,-0.44,0.45
-1.13,-5.39,-0.35,0.23
-1.14,-5.39,-0.57,0.26
-1.14,-5.39,-0.29,0.14
-1.14,-5.39,-0.08,0.15
-1.13,-5.39,-0.04,-0.06
-1.13,-5.40,-0.09,0.09
-1.13,-5.40,-0.10,0.07
-1.13,-5.40,-0.29,0.23
-1.12,-5.40,-0.13,0.06
-1.12,-5.41,-0.13,0.11
-1.12,-5.41,-0.11,0.05
-1.12,-5.41,-0.18,0.06
-1.12,-5.41,-0.12,0.12
-1.12,-5.41,-0.06,0.31
-1.12,-5.41,-0.23,0.20
-1.12,-5.40,-0.20,0.20
-1.12,-5.40,-0.30,0.14
-1.12,-5.41,-0.31,0.17
-1.12,-5.40,-0.20,0.32
-1.12,-5.40,-0.12,0.20
-1.12,-5.40,-0.30,0.31
-1.12,-5.40,-0.43,0.08
-1.12,-5.39,-0.27,0.50
-1.12,-5.39,-0.25,0.32
-1.12,-5.38,-0.25,0.34
-1.12,-5.38,-0.19,0.20
-1.11,-5.38,-0.27,0.31
-1.11,-5.38,-0.31,0.20
-1.12,-5.38,-0.55,0.14
-1.12,-5.38,-0.29,0.31
-1.12,-5.38,-0.27,0.08
-1.11,-5.38,0.11,0.11
-1.11,-5.39,-0.03,0.05
-1.10,-5.38,0.02,0.35
-1.10,-5.39,-0.25,0.04
-1.10,-5.39,-0.02,0.15
-1.10,-5.39,-0.23,0.18
-1.10,-5.39,-0.06,0.38
-1.09,-5.39,-0.07,0.03
-1.08,-5.38,-0.04,0.42
-1.09,-5.39,-0.28,-0.09
-1.08,-5.40,-0.19,0.14
-1.08,-5.40,-0.19,0.18
-1.08,-5.39,-0.02,0.26
-1.08,-5.40,-0.10,0.12
-1.08,-5.39,-0.17,0.31
-1.08,-5.39,-0.30,0.32
-1.07,-5.39,-0.12,0.10
-1.07,-5.39,-0.19,0.31
-1.07,-5.38,-0.02,0.39
-1.07,-5.39,-0.10,0.03
-1.07,-5.39,-0.23,0.06
-1.08,-5.38,-0.50,0.18
-1.08,-5.38,-0.46,0.30
-1.08,-5.39,-0.20,0.14
-1.07,-5.38,0.01,0.42
-1.07,-5.39,-0.29,0.09
-1.07,-5.38,-0.19,0.12
-1.07,-5.38,-0.36,0.19
-1.07,-5.38,-0.15,0.30
-1.08,-5.38,-0.31,0.20
-1.08,-5.38,-0.25,0.20
-1.07,-5.38,-0.09,0.32
-1.07,-5.37,-0.10,0.32
-1.07,-5.37,-0.12,0.26
-1.07,-5.38,-0.17,0.24
-1.06,-5.38,-0.04,0.19
-1.06,-5.38,-0.04,0.24
-1.06,-5.37,-0.34,0.28
-1.06,-5.37,0.02,0.26
-1.06,-5.37,-0.16,0.13
-1.06,-5.37,-0.19,0.37
-1.06,-5.38,-0.36,-0.03
-1.06,-5.37,-0.20,0.27
-1.06,-5.38,-0.20,0.07
-1.07,-5.38,-0.38,0.06
-1.07,-5.38,-0.20,0.23
-1.07,-5.38,-0.12,0.37
-1.07,-5.37,-0.26,0.33
-1.07,-5.37,-0.09,0.26
-1.07,-5.38,-0.35,0.07
-1.08,-5.38,-0.32,0.12
-1.07,-5.38,-0.14,0.19
-1.07,-5.38,-0.19,0.14
-1.07,-5.38,-0.18,0.06
-1.08,-5.38,-0.25,0.35
-1.08,-5.38,-0.34,0.15
-1.08,-5.38,-0.16,0.31
-1.08,-5.38,-0.23,-0.04
-1.08,-5.38,-0.13,0.28
-1.08,-5.38,-0.35,0.21
-1.09,-5.38,-0.17,0.20
-1.09,-5.38,-0.24,0.35
-1.08,-5.38,-0.35,0.21
-1.08,-5.38,-0.10,0.19
-1.08,-5.38,-0.05,0.18
-1.08,-5.38,-0.34,0.20
-1.08,-5.37,-0.15,0.43
-1.08,-5.38,-0.10,0.26
-1.08,-5.37,-0.36,0.32
-1.09,-5.37,-0.34,0.21
-1.09,-5.37,-0.27,0.19
-1.09,-5.38,-0.25,0.11
-1.09,-5.38,-0.32,0.13
-1.09,-5.38,-0.20,0.22
-1.09,-5.38,-0.31,0.49
-1.09,-5.38,-0.08,0.28
-1.09,-5.38,-0.16,0.02
-1.09,-5.38,-0.19,0.10
-1.10,-5.39,-0.37,0.07
-1.10,-5.38,-0.28,0.35
-1.10,-5.38,-0.09,0.16
-1.09,-5.39,-0.10,0.12
-1.10,-5.39,-0.36,0.07
-1.10,-5.38,-0.32,0.18
-1.10,-5.38,-0.32,0.20
-1.10,-5.38,-0.15,0.08
-1.10,-5.38,-0.17,0.17
-1.09,-5.38,-0.06,0.24
-1.09,-5.39,-0.06,0.19
-1.10,-5.38,-0.41,0.25
-1.09,-5.39,-0.09,-0.05
-1.09,-5.39,-0.17,0.09
-1.09,-5.39,-0.30,0.31
-1.09,-5.39,-0.25,0.26
-1.09,-5.40,-0.19,-0.06
-1.09,-5.40,-0.12,0.17
-1.09,-5.40,-0.24,0.00
-1.09,-5.41,-0.31,0.04
-1.10,-5.40,-0.23,0.07
-1.09,-5.40,0.01,0.29
-1.09,-5.41,-0.29,0.06
-1.09,-5.41,-0.37,0.06
-1.10,-5.42,-0.66,-0.36
-1.09,-5.43,-0.09,-0.60
-1.08,-5.45,0.74,-0.59
-1.06,-5.45,0.57,0.42
-1.06,-5.43,-0.34,1.11
-1.07,-5.42,-0.85,1.04
-1.08,-5.41,-0.34,0.60
-1.08,-5.41,-0.22,0.24
-1.08,-5.42,-0.44,-0.37
-1.08,-5.44,-0.21,-0.84
-1.06,-5.47,0.61,-1.18
-1.03,-5.48,1.02,-0.47
-1.04,-5.47,-0.10,0.36
-1.04,-5.46,-0.45,0.74
-1.04,-5.45,-0.40,0.91
-1.05,-5.43,-0.59,1.01
-1.05,-5.43,-0.34,0.48
-1.05,-5.42,-0.22,0.48
-1.05,-5.43,-0.25,-0.06
-1.05,-5.43,-0.30,0.15
-1.06,-5.43,-0.33,0.08
-1.07,-5.42,-0.45,0.05
-1.05,-5.41,0.43,0.81
-1.07,-5.40,-0.72,0.67
-1.07,-5.39,-0.60,0.70
-1.07,-5.39,-0.48,0.42
-1.08,-5.39,-0.58,0.04
-1.08,-5.39,-0.37,0.31
-1.09,-5.38,-0.24,0.28
-1.09,-5.38,-0.23,0.27
-1.09,-5.38,-0.14,0.14
-1.09,-5.38,-0.47,0.25
-1.09,-5.39,-0.34,-0.18
-1.09,-5.39,-0.32,0.08
-1.09,-5.40,-0.26,0.28
-1.09,-5.39,-0.31,0.15
-1.09,-5.40,-0.13,0.18
-1.09,-5.40,-0.05,0.02
-1.08,-5.39,0.08,0.24
-1.08,-5.40,-0.32,0.02
-1.08,-5.40,-0.26,0.28
-1.08,-5.40,-0.21,-0.04
-1.09,-5.41,-0.26,0.04
-1.08,-5.42,-0.07,-0.10
-1.09,-5.41,-0.54,0.06
-1.09,-5.41,-0.30,0.32
-1.10,-5.40,-0.27,0.29
-1.09,-5.40,-0.07,0.27
-1.10,-5.40,-0.40,0.09
-1.10,-5.40,-0.33,0.29
-1.10,-5.40,-0.27,0.26
-1.10,-5.40,-0.28,0.26
-1.10,-5.40,-0.24,0.18
-1.10,-5.40,-0.29,0.20
-1.13,-5.41,-1.86,-0.41
-1.11,-5.41,0.06,0.27
-1.11,-5.41,0.04,0.14
-1.10,-5.41,-0.03,0.03
-1.09,-5.41,0.14,0.34
-1.10,-5.41,-0.22,0.14
-1.09,-5.40,0.28,0.77
-1.09,-5.40,-0.28,0.20
-1.09,-5.40,-0.22,0.19
-1.09,-5.40,-0.26,0.50
-1.09,-5.40,0.11,0.02
-1.09,-5.41,-0.27,-0.26
-1.09,-5.41,0.02,0.11
-1.09,-5.41,-0.11,0.27
-1.09,-5.42,-0.27,0.23
-1.09,-5.41,-0.60,0.39
-1.08,-5.40,0.20,0.50
-1.07,-5.39,0.44,0.45
-1.05,-5.39,0.03,0.05
-1.09,-5.39,-2.08,0.87
-1.16,-5.32,-2.97,3.94
-1.21,-5.19,-2.15,6.03
