Xa	Ya	Xr	Yr
-6.94	-3.78	-0.47	-0.30
-6.94	-3.79	-0.28	-0.29
-6.94	-3.80	-0.25	-0.35
-6.94	-3.81	-0.08	-0.19
-6.93	-3.80	0.12	0.15
-6.93	-3.81	0.08	-0.06
-6.93	-3.82	-0.21	-0.10
-6.93	-3.84	-0.37	-0.70
-6.94	-3.87	-0.57	-0.85
-6.95	-3.88	-0.44	-0.43
-6.94	-3.88	0.21	0.05
-6.92	-3.87	0.53	0.65
-6.91	-3.85	0.50	0.99
-6.90	-3.83	0.25	1.09
-6.90	-3.81	-0.07	1.22
-6.90	-3.80	-0.03	0.73
-6.88	-3.80	0.23	0.27
-6.87	-3.80	0.31	0.31
-6.86	-3.80	0.01	0.03
-6.87	-3.80	-0.51	0.01
-6.88	-3.80	-0.81	0.25
-6.89	-3.79	-0.98	0.28
-6.92	-3.77	-1.26	0.77
-6.94	-3.76	-1.54	0.93
-6.97	-3.74	-1.38	0.96
-6.98	-3.73	-1.01	0.83
-6.98	-3.73	-0.15	0.31
-6.98	-3.75	0.15	-0.07
-6.98	-3.76	0.35	-0.29
-6.98	-3.79	0.30	-0.94
-6.97	-3.84	0.88	-1.41
-6.94	-3.89	1.93	-1.43
-6.86	-3.92	3.58	-0.88
-6.74	-3.94	5.52	-0.39
-6.59	-3.97	6.86	-0.42
-6.44	-4.02	6.97	-0.74
-6.33	-4.05	5.98	-0.55
-6.25	-4.07	4.41	-0.69
-6.23	-4.08	1.89	-0.27
-6.24	-4.09	-0.19	-0.69
-6.26	-4.12	-1.07	-1.82
-6.26	-4.15	-0.69	-2.66
-6.22	-4.20	0.94	-3.34
-6.14	-4.25	3.28	-3.87
-6.01	-4.30	5.44	-3.87
-5.87	-4.36	6.53	-3.91
-5.73	-4.43	6.86	-4.02
-5.58	-4.52	7.09	-4.33
-5.44	-4.61	6.94	-4.09
-5.30	-4.67	6.69	-3.44
-5.18	-4.71	6.10	-1.90
-5.06	-4.70	5.81	0.04
-4.94	-4.66	5.29	2.09
-4.83	-4.57	5.13	4.12
-4.72	-4.45	4.83	6.15
-4.62	-4.29	4.19	7.65
-4.54	-4.11	3.19	8.55
-4.49	-3.93	2.04	9.45
-4.45	-3.75	0.98	9.31
-4.45	-3.56	-0.49	9.31
-4.48	-3.39	-1.76	8.79
-4.54	-3.24	-2.74	7.50
-4.60	-3.12	-3.40	6.14
-4.67	-3.05	-3.68	3.77
-4.73	-3.03	-3.47	1.64
-4.76	-3.05	-2.40	-0.93
-4.76	-3.13	-0.80	-3.21
-4.72	-3.24	1.09	-5.18
-4.66	-3.39	2.38	-6.38
-4.57	-3.56	3.45	-7.38
-4.47	-3.72	4.37	-7.56
-4.38	-3.88	4.34	-7.11
-4.29	-4.00	4.41	-5.99
-4.20	-4.08	3.77	-3.80
-4.14	-4.12	2.96	-1.80
-4.08	-4.11	2.22	0.44
-4.06	-4.06	0.78	2.74
-4.06	-3.96	-0.19	4.73
-4.05	-3.84	-0.24	6.25
-4.01	-3.71	0.38	7.24
-3.97	-3.57	1.13	7.46
-3.92	-3.47	1.21	6.38
-3.88	-3.39	1.29	4.98
-3.82	-3.34	1.56	3.37
-3.75	-3.32	2.13	1.76
-3.65	-3.35	2.71	-0.17
-3.57	-3.41	2.20	-2.09
-3.53	-3.49	0.68	-3.14
-3.54	-3.55	-1.37	-3.47
-3.60	-3.62	-3.36	-3.48
-3.68	-3.67	-4.61	-3.42
-3.77	-3.74	-5.18	-3.27
-3.85	-3.80	-4.50	-3.31
-3.90	-3.86	-3.34	-3.43
-3.93	-3.96	-2.11	-4.10
-3.94	-4.07	-1.07	-5.16
-3.93	-4.20	-0.33	-5.98
-3.90	-4.36	0.59	-7.19
-3.84	-4.53	1.73	-7.85
-3.78	-4.72	2.29	-8.55
-3.72	-4.92	2.30	-8.83
-3.69	-5.10	1.78	-8.40
-3.68	-5.23	0.82	-7.14
-3.71	-5.34	-0.78	-5.91
-3.75	-5.41	-1.82	-4.49
-3.77	-5.48	-1.69	-3.69
-3.76	-5.56	-0.36	-3.91
-3.73	-5.67	0.48	-4.69
-3.73	-5.80	-0.37	-5.87
-3.80	-5.96	-2.87	-7.23
-3.87	-6.15	-4.20	-8.34
-3.92	-6.33	-3.56	-8.59
-3.93	-6.51	-1.69	-8.20
-3.91	-6.67	-0.52	-7.45
-3.91	-6.82	-0.57	-6.83
-3.94	-6.96	-1.59	-5.95
-4.02	-7.06	-3.69	-4.51
-4.13	-7.11	-5.70	-1.94
-4.27	-7.09	-7.05	1.07
-4.41	-7.00	-7.25	4.39
-4.54	-6.83	-6.68	8.23
-4.65	-6.59	-5.68	11.59
-4.74	-6.30	-4.74	14.13
-4.82	-6.00	-4.13	15.52
-4.89	-5.69	-3.77	16.01
-4.96	-5.39	-3.40	15.44
-5.01	-5.10	-2.67	14.45
-5.03	-4.84	-2.04	13.44
-5.04	-4.60	-1.04	12.10
-5.01	-4.39	0.38	10.60
-4.96	-4.22	1.39	8.77
-4.90	-4.11	2.13	6.35
-4.84	-4.03	2.52	4.03
-4.78	-4.01	2.31	1.85
-4.74	-4.00	1.62	0.50
-4.72	-4.01	0.72	-0.59
-4.71	-4.04	-0.23	-1.23
-4.72	-4.08	-1.34	-1.80
-4.76	-4.12	-2.78	-2.05
-4.84	-4.18	-4.21	-2.74
-4.95	-4.25	-5.86	-3.31
-5.07	-4.34	-6.79	-4.24
-5.19	-4.44	-6.79	-4.80
-5.32	-4.54	-6.77	-5.17
-5.43	-4.66	-6.10	-5.57
-5.53	-4.77	-5.34	-5.75
-5.62	-4.89	-4.85	-5.96
-5.70	-5.02	-4.18	-6.00
-5.77	-5.14	-3.70	-6.01
-5.85	-5.27	-3.76	-6.06
-5.92	-5.39	-3.46	-5.82
-5.97	-5.49	-3.04	-5.15
-6.03	-5.59	-2.70	-4.39
-6.07	-5.67	-2.39	-3.82
-6.11	-5.74	-2.35	-3.31
-6.17	-5.80	-2.82	-2.59
-6.23	-5.84	-3.12	-1.86
-6.29	-5.88	-3.44	-1.43
-6.35	-5.91	-3.39	-1.02
-6.41	-5.92	-3.36	-0.41
-6.48	-5.93	-3.51	-0.21
-6.55	-5.93	-3.88	0.14
-6.64	-5.93	-4.08	0.35
-6.72	-5.92	-4.14	0.67
-6.79	-5.91	-4.02	0.84
-6.85	-5.90	-3.34	1.04
-6.89	-5.89	-2.52	0.84
-6.91	-5.87	-1.79	0.94
-6.93	-5.86	-1.24	1.00
-6.95	-5.85	-1.12	0.59
-6.96	-5.86	-1.08	0.18
-6.97	-5.87	-0.88	-0.43
-6.97	-5.90	-0.50	-0.86
-6.97	-5.92	-0.22	-1.16
-6.96	-5.94	-0.16	-0.89
-6.96	-5.95	-0.13	-0.65
-6.96	-5.97	0.05	-0.68
-6.95	-5.98	0.14	-0.40
-6.95	-5.98	0.22	-0.29
-6.94	-6.00	0.29	-0.59
-6.93	-6.03	0.29	-1.01
-6.93	-6.06	-0.06	-1.13
-6.92	-6.09	0.07	-1.26
-6.91	-6.12	0.34	-1.53
-6.89	-6.15	0.75	-1.07
-6.86	-6.17	0.86	-0.73
-6.83	-6.18	1.30	-0.32
-6.79	-6.19	1.29	-0.03
-6.77	-6.19	0.81	0.62
-6.75	-6.18	0.52	0.90
-6.75	-6.15	-0.08	1.55
-6.76	-6.11	-0.46	1.86
-6.76	-6.08	-0.66	2.14
-6.77	-6.04	-0.72	2.07
-6.77	-6.00	-0.59	2.07
-6.78	-5.98	-0.70	1.70
-6.77	-5.95	-0.40	1.66
-6.77	-5.93	-0.43	1.29
-6.78	-5.91	-0.79	0.92
-6.79	-5.90	-0.68	0.83
-6.79	-5.90	-0.78	0.39
-6.81	-5.91	-1.05	-0.16
-6.82	-5.92	-0.77	-0.45
-6.82	-5.93	-0.48	-0.21
-6.81	-5.93	-0.13	0.02
-6.79	-5.94	0.28	0.21
-6.78	-5.92	0.42	0.87
-6.77	-5.90	0.27	1.17
-6.76	-5.87	-0.04	1.48
-6.75	-5.85	-0.08	1.49
-6.76	-5.82	-0.53	1.50
-6.77	-5.80	-0.70	1.44
-6.79	-5.78	-1.15	1.33
-6.80	-5.76	-1.23	1.13
-6.82	-5.74	-1.34	0.98
-6.84	-5.73	-1.06	0.54
-6.85	-5.73	-0.96	0.31
-6.86	-5.73	-0.35	0.03
-6.86	-5.74	-0.22	-0.13
-6.86	-5.74	-0.08	0.09
-6.86	-5.74	-0.14	-0.05
-6.85	-5.74	0.35	0.24
-6.83	-5.73	0.28	0.62
-6.81	-5.73	0.86	0.53
-6.78	-5.72	0.99	0.54
-6.76	-5.72	0.59	0.36
-6.76	-5.71	0.28	0.28
-6.75	-5.71	0.02	0.34
-6.74	-5.70	-0.07	0.41
-6.74	-5.70	-0.32	0.16
-6.74	-5.70	-0.40	0.17
-6.74	-5.71	-0.46	-0.02
-6.74	-5.72	-0.33	-0.03
-6.75	-5.72	-0.51	0.16
-6.75	-5.72	-0.30	0.29
-6.74	-5.72	0.17	0.25
-6.73	-5.73	0.58	0.06
-6.69	-5.74	1.32	0.03
-6.64	-5.74	2.00	-0.01
-6.59	-5.73	2.44	0.24
-6.53	-5.73	2.81	0.38
-6.46	-5.73	3.18	0.28
-6.40	-5.72	3.07	0.57
-6.33	-5.71	3.26	0.66
-6.26	-5.70	3.63	0.49
-6.18	-5.69	3.82	0.62
-6.08	-5.68	4.06	0.44
-6.01	-5.68	3.51	0.39
-5.96	-5.67	2.59	0.47
-5.93	-5.68	1.31	0.09
-5.92	-5.69	0.23	-0.31
-5.93	-5.70	-0.87	-0.35
-5.95	-5.70	-1.39	-0.11
-5.97	-5.70	-1.70	0.17
-6.00	-5.69	-1.63	0.61
-6.02	-5.68	-1.47	0.91
-6.05	-5.66	-1.51	1.01
-6.07	-5.65	-1.21	0.82
-6.08	-5.65	-0.75	0.56
-6.08	-5.65	-0.16	0.04
-6.08	-5.67	0.01	-0.36
-6.06	-5.69	0.39	-0.20
-6.04	-5.69	0.62	0.18
-6.02	-5.69	0.71	0.25
-6.00	-5.68	0.90	0.56
-5.98	-5.67	0.57	0.66
-5.98	-5.65	-0.12	0.81
-5.98	-5.64	-0.27	0.75
-5.98	-5.63	-0.70	0.93
-5.99	-5.61	-0.70	0.84
-6.00	-5.60	-0.91	0.59
-6.03	-5.60	-1.53	0.25
-6.05	-5.60	-1.68	0.43
-6.08	-5.59	-1.62	0.41
-6.10	-5.59	-1.35	0.39
-6.10	-5.58	-0.37	0.65
-6.09	-5.57	0.09	0.74
-6.08	-5.55	0.45	0.95
-6.06	-5.52	0.60	1.15
-6.05	-5.51	0.46	1.04
-6.04	-5.50	0.21	0.71
-6.03	-5.49	0.13	0.50
-6.03	-5.50	-0.01	-0.13
-6.02	-5.51	-0.02	-0.15
-6.01	-5.51	-0.02	-0.24
-6.00	-5.52	-0.02	-0.27
-6.01	-5.53	-0.46	-0.46
-6.03	-5.54	-1.23	-0.43
-6.06	-5.55	-1.47	-0.49
-6.09	-5.57	-1.63	-0.51
-6.11	-5.58	-1.39	-0.56
-6.12	-5.60	-1.18	-0.68
-6.13	-5.61	-0.61	-0.58
-6.13	-5.62	-0.36	-0.45
-6.13	-5.64	-0.15	-0.76
-6.13	-5.67	-0.47	-0.98
-6.14	-5.69	-0.57	-0.89
-6.14	-5.72	-0.40	-1.05
-6.14	-5.74	-0.56	-0.76
-6.14	-5.75	-0.52	-0.49
-6.15	-5.75	-0.87	0.05
-6.17	-5.75	-1.10	0.40
-6.19	-5.73	-1.33	0.95
-6.22	-5.72	-1.60	0.90
-6.25	-5.71	-1.75	0.93
-6.28	-5.70	-1.72	0.64
-6.31	-5.69	-1.59	0.66
-6.33	-5.68	-1.47	0.67
-6.35	-5.68	-1.08	0.38
-6.36	-5.69	-0.78	0.02
-6.37	-5.69	-0.46	-0.07
-6.38	-5.70	-0.66	-0.13
-6.38	-5.71	-0.43	-0.32
-6.38	-5.72	-0.16	-0.43
-6.36	-5.74	0.57	-0.51
-6.33	-5.75	1.00	-0.58
-6.31	-5.77	1.06	-0.52
-6.28	-5.78	0.90	-0.33
-6.26	-5.78	0.70	-0.05
-6.25	-5.78	0.47	0.18
-6.24	-5.78	0.17	0.19
-6.24	-5.78	-0.24	0.07
-6.23	-5.79	0.01	-0.07
-6.23	-5.80	-0.31	-0.15
-6.23	-5.80	-0.48	0.14
-6.25	-5.79	-0.77	0.20
-6.26	-5.80	-0.86	-0.04
-6.27	-5.80	-1.05	-0.09
-6.28	-5.82	-0.73	-0.17
-6.29	-5.82	-0.54	-0.17
-6.29	-5.84	-0.51	-0.24
-6.29	-5.85	-0.24	-0.23
-6.29	-5.85	-0.20	-0.10
-6.28	-5.85	0.00	0.15
-6.27	-5.86	0.10	0.05
-6.27	-5.86	-0.02	0.09
-6.26	-5.87	0.01	0.04
-6.26	-5.87	0.09	0.35
-6.25	-5.86	0.04	0.40
-6.25	-5.86	-0.25	0.56
-6.25	-5.85	-0.35	0.70
-6.24	-5.84	-0.24	0.69
-6.25	-5.83	-0.43	0.61
-6.26	-5.82	-0.58	0.60
-6.27	-5.81	-0.84	0.49
-6.28	-5.82	-0.80	0.21
-6.29	-5.82	-0.75	0.19
-6.30	-5.82	-0.62	0.17
-6.30	-5.83	-0.25	0.17
-6.29	-5.83	-0.11	0.23
-6.29	-5.82	-0.12	0.51
-6.29	-5.82	-0.05	0.53
-6.28	-5.81	-0.02	0.49
-6.26	-5.80	0.57	0.52
-6.24	-5.80	0.59	0.50
